t,year,height,station,u2,v2,surge_mm,height - surge,height - surge anomaly,psmsl_id,wind_variant
1952-01-01,1952.0,2.0,24,5.917683297944624,-0.6884090691034283,61.021820132278535,-59.021820132278535,1.9999999999999858,24,Combined
1953-01-01,1953.0,-27.0,24,5.034765107621486,1.0267215870115312,61.021820132278535,-88.02182013227853,-27.000000000000014,24,Combined
1954-01-01,1954.0,-19.0,24,10.093401031485794,3.1427799943570363,61.021820132278535,-80.02182013227853,-19.000000000000014,24,Combined
1955-01-01,1955.0,4.0,24,4.944991863760361,-1.8953385498210986,61.021820132278535,-57.021820132278535,3.999999999999986,24,Combined
1956-01-01,1956.0,-40.0,24,3.617198763824551,0.1894652749669783,61.021820132278535,-101.02182013227853,-40.000000000000014,24,Combined
1957-01-01,1957.0,-20.0,24,4.207589021694507,0.5545628534070194,61.021820132278535,-81.02182013227853,-20.000000000000014,24,Combined
1958-01-01,1958.0,-30.0,24,4.355205937674666,0.3697061243401656,61.021820132278535,-91.02182013227853,-30.000000000000014,24,Combined
1959-01-01,1959.0,-63.0,24,1.0946395850436221,2.775089896118102,61.021820132278535,-124.02182013227853,-63.000000000000014,24,Combined
1960-01-01,1960.0,-15.0,24,0.7090474259847572,1.9344359930721435,61.021820132278535,-76.02182013227853,-15.000000000000014,24,Combined
1961-01-01,1961.0,86.0,24,5.75429318285999,1.315105851383766,61.021820132278535,24.978179867721465,85.99999999999999,24,Combined
1962-01-01,1962.0,16.0,24,5.877581640944885,0.13498434254985,61.021820132278535,-45.021820132278535,15.999999999999986,24,Combined
1963-01-01,1963.0,-29.0,24,0.2810498308865174,1.9679367662138223,61.021820132278535,-90.02182013227853,-29.000000000000014,24,Combined
1964-01-01,1964.0,-14.0,24,0.6573048705586739,-0.2056845064876768,61.021820132278535,-75.02182013227853,-14.000000000000014,24,Combined
1965-01-01,1965.0,0.0,24,5.784757110333428,-1.815888498902699,61.021820132278535,-61.021820132278535,-1.4210854715202004e-14,24,Combined
1966-01-01,1966.0,30.0,24,7.028076309222648,0.6606670961797753,61.021820132278535,-31.021820132278535,29.999999999999986,24,Combined
1967-01-01,1967.0,103.0,24,12.765245718900372,3.8008481469856803,61.021820132278535,41.978179867721465,102.99999999999999,24,Combined
1968-01-01,1968.0,37.0,24,3.7755846539346734,0.19227665822196793,61.021820132278535,-24.021820132278535,36.999999999999986,24,Combined
1969-01-01,1969.0,12.0,24,1.925209121850914,0.5998935191070563,61.021820132278535,-49.021820132278535,11.999999999999986,24,Combined
1970-01-01,1970.0,62.0,24,8.131737731618808,1.7889700075532151,61.021820132278535,0.9781798677214653,61.999999999999986,24,Combined
1971-01-01,1971.0,26.0,24,2.8745146252412375,1.1014508624400439,61.021820132278535,-35.021820132278535,25.999999999999986,24,Combined
1972-01-01,1972.0,-57.0,24,2.5584815646220287,3.7007037934336133,61.021820132278535,-118.02182013227853,-57.000000000000014,24,Combined
1973-01-01,1973.0,35.0,24,9.520682739485181,-0.9721336292536265,61.021820132278535,-26.021820132278535,34.999999999999986,24,Combined
1974-01-01,1974.0,35.0,24,11.503460697628698,2.5546678445792974,61.021820132278535,-26.021820132278535,34.999999999999986,24,Combined
1975-01-01,1975.0,7.0,24,4.674917467744822,0.19217926917464215,61.021820132278535,-54.021820132278535,6.999999999999986,24,Combined
1976-01-01,1976.0,-22.0,24,3.363256113093908,-0.7099102645644857,61.021820132278535,-83.02182013227853,-22.000000000000014,24,Combined
1977-01-01,1977.0,15.0,24,7.223191132747172,2.5798526251111356,61.021820132278535,-46.021820132278535,14.999999999999986,24,Combined
1978-01-01,1978.0,15.0,24,8.551635892801098,1.0163754260689943,61.021820132278535,-46.021820132278535,14.999999999999986,24,Combined
1979-01-01,1979.0,1.0,24,5.70024574147136,2.3869617516046255,41.7017942549635,-40.7017942549635,20.320025877315018,24,Combined
1980-01-01,1980.0,45.0,24,6.4064633231250125,-0.8189574901653541,47.244588157436795,-2.2445881574367945,58.777231974841726,24,Combined
1981-01-01,1981.0,107.0,24,9.31655764095993,0.5017544532817588,87.6831374756277,19.316862524372297,80.33868265665082,24,Combined
1982-01-01,1982.0,79.0,24,5.454910123648964,3.270120636442749,59.5667184926952,19.433281507304798,80.45510163958332,24,Combined
1983-01-01,1983.0,128.0,24,12.008880832257011,2.519623967675306,105.442636671846,22.557363328153997,83.57918346043252,24,Combined
1984-01-01,1984.0,31.0,24,6.145270808518653,3.6726422958857547,43.7642523199523,-12.764252319952298,48.25756781232622,24,Combined
1985-01-01,1985.0,47.0,24,6.091884746141314,2.5836999480482565,54.5948640405111,-7.594864040511098,53.42695609176742,24,Combined
1986-01-01,1986.0,19.0,24,5.628788060705631,3.2792353467760247,61.1722151098186,-42.1722151098186,18.84960502245992,24,Combined
1987-01-01,1987.0,23.0,24,3.224530865918402,1.6494708727114882,24.7955739702263,-1.7955739702263003,59.22624616205222,24,Combined
1988-01-01,1988.0,111.0,24,12.714699300316214,2.8422318002155316,88.0486899986863,22.9513100013137,83.97313013359222,24,Combined
1989-01-01,1989.0,75.0,24,7.295706726489391,2.7750372168432946,74.6853243406504,0.3146756593496036,61.336495791628124,24,Combined
1990-01-01,1990.0,124.0,24,12.639977625029745,7.651901952271486,126.98225946459048,-2.9822594645904843,58.039560667688036,24,Combined
