# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# surge -> sea surface height correction due to air pressure and wind [m]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
# sea_surface_height_due_to_tide  -> fitted nodal tide based on linear model with wind [mm relative to NAP(2005)]
index,t,year,height,u2,v2,surge,height-surge,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,sea_surface_height_due_to_tide,date
78,1940-01-01,1940.0,-98.0,6.3112593,2.3649986,0.04513845848196298,-52.90667997651899,-56.71751568858827,-59.01587622895304,-46.07269496479844,-50.60909364381751,-41.536296285779365,-91.16733121082834,-0.978058718768537,-10.644820723789838,1940-01-01
79,1941-01-01,1941.0,-130.2,6.3112593,2.3649986,0.04513845848196298,-85.10667997651898,-52.02790801679301,-54.29541101757178,-44.198535300664126,-48.67672309568347,-39.72034750564478,-89.28735288456411,0.8902822832358552,-7.829372716128899,1941-01-01
80,1942-01-01,1942.0,-115.8,6.3112593,2.3649986,0.04513845848196298,-70.70667997651898,-46.45455748396487,-48.5113790959937,-42.324375636529815,-46.745795848349076,-37.902955424710555,-87.40759049390475,2.7588392208451182,-4.130181847435061,1942-01-01
81,1943-01-01,1943.0,-69.2,6.3112593,2.3649986,0.04513845848196298,-24.10667997651899,-40.415011400767916,-42.09990977211622,-40.450215972395505,-44.81636819844956,-36.08406374634145,-85.52804411936623,4.627612174575212,0.0352045716275744,1943-01-01
82,1944-01-01,1944.0,-63.4,6.3112593,2.3649986,0.04513845848196298,-18.306679976518986,-34.37943904445557,-35.56795454421279,-38.576056308261194,-42.888497802616676,-34.26361481390571,-83.64871383839788,6.496601221875494,4.196617263805617,1944-01-01
83,1945-01-01,1945.0,-73.6,6.3112593,2.3649986,0.04513845848196298,-28.50667997651898,-28.81756115663304,-29.43606479414886,-36.70189664412688,-40.96224355875373,-32.44154972950004,-81.76959972537696,8.365806437123204,7.8843354874938365,1945-01-01
84,1946-01-01,1946.0,-81.2,6.3112593,2.3649986,0.04513845848196298,-36.10667997651899,-24.145630069619607,-24.179634389541352,-34.82773697999257,-39.03766546314657,-30.617808496838578,-79.89070185160327,10.235227891618123,10.682106910372951,1946-01-01
85,1947-01-01,1947.0,-133.8,6.3112593,2.3649986,0.04513845848196298,-88.706679976519,-20.67944509600614,-20.17523945427169,-32.95357731585826,-37.114824441797964,-28.79233018991856,-78.01202028529397,12.104865653577441,12.274132219852119,1947-01-01
86,1948-01-01,1948.0,-65.2,4.387522,5.4108086,0.04513845848196298,-20.10667997651899,-32.39204872150744,-17.658132222312762,-31.07941765172395,-35.19378215460661,-26.965053148841292,-76.13355509157878,13.974719788130884,12.480711067915257,1948-01-01
87,1949-01-01,1949.0,-53.2,8.470212,1.8927959,0.04513845848196298,-8.10667997651899,-2.7090204604446995,-16.69568686923371,-29.20525798758964,-33.274600771331215,-25.135915203848068,-74.25530633249531,15.844790357316029,11.278525803348748,1949-01-01
88,1950-01-01,1950.0,-47.6,5.701431,2.4221733,0.04513845848196298,-2.5066799765189884,-22.819514041915173,-17.179794631344755,-27.33109832345533,-31.357342718691125,-23.304853928219533,-72.3772740669845,17.71507742007384,8.80327345881663,1950-01-01
89,1951-01-01,1951.0,-60.8,3.2752788,4.516599,0.04513845848196298,-15.706679976518984,-41.65453559055522,-18.83906661575488,-25.45693865932102,-29.442070398462775,-21.47180692017926,-70.4994583508865,19.585581032244455,5.334348906430291,1951-01-01
90,1952-01-01,1952.0,-41.4,5.917683,-0.6884091,0.04513845848196298,3.6933200234810144,-24.81429285134205,-21.269466905392115,-23.582778995186708,-27.528845877036492,-19.636712113336923,-68.62185923693653,21.45630124656312,1.2633080753534687,1952-01-01
91,1953-01-01,1953.0,-82.4,5.0347652,1.0267215,0.04513845848196298,-37.30667997651899,-33.51258687055157,-23.979918237805546,-21.708619331052397,-25.617730547597365,-17.79950811450743,-66.74447677476124,23.327238112656453,-2.9503290445140014,1953-01-01
92,1954-01-01,1954.0,-50.8,10.093402,3.14278,0.04513845848196298,-5.706679976518984,-0.14920760385090315,-26.447732502683095,-19.834459666918086,-23.70878476687717,-15.960134566959002,-64.867311010875,25.19839167703882,-6.830946863177953,1954-01-01
93,1955-01-01,1955.0,-44.4,4.944992,-1.8953387,0.04513845848196298,0.6933200234810144,-37.12547805008678,-28.177609323574785,-17.960300002783775,-21.802067469275933,-14.11853253629162,-62.99036198867655,27.069761983108997,-9.940519447018389,1955-01-01
94,1956-01-01,1956.0,-104.6,3.6171985,0.18946528,0.04513845848196298,-59.50667997651898,-46.75767985100464,-28.757543240706138,-16.086140338649464,-19.897635762048456,-12.274644915250473,-61.11362974844601,28.94134907114708,-11.928052831196789,1956-01-01
95,1957-01-01,1957.0,-69.0,4.207589,0.55456275,0.04513845848196298,-23.906679976518987,-41.407188633864884,-27.90532895437172,-14.211980674515152,-17.99554450616312,-10.428416842867183,-59.2371143273418,30.813152978311493,-12.569203571734084,1957-01-01
96,1958-01-01,1958.0,-54.8,4.355206,0.36970612,0.04513845848196298,-9.706679976518984,-37.701350612666815,-25.500415335211876,-12.337821010380841,-16.09584588833032,-8.579796132431362,-57.36081575939809,32.68517373863641,-11.791601580969413,1958-01-01
