# Sea surface height for the Netherlands based on the 6 main tide gauges. 
# Cite https://doi.org/10.2112/JCOASTRES-D-11-00169.1 (method) https://doi.org/10.5281/zenodo.1065964 (data)
# Lineage: https://doi.org/10.5281/zenodo.1065964 (notebooks/dutch-sea-level-monitor.ipynb)
# year -> year over which sea-level is averaged
# date -> first day of the year over which the sea level is averaged
# height -> mean sea surface height over main tide gauges, based on PSMSL RLR [mm relative to NAP(2005)]
# u2/v2 -> signed squared mean wind velocity offshore [m2/s2]
# predicted_linear_with_wind -> fitted sea surface height based on linear model with wind and 0 tide [mm relative to NAP(2005)]
# predicted_linear_without_wind -> fitted sea surface height based on linear model with tide [mm relative to NAP(2005)]
# predicted_linear_mean_wind  -> fitted sea surface height based on linear model with wind and mean nodal tide   [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_ci_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% confidence interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_025  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 2.5% prediction interval [mm relative to NAP(2005)]
# predicted_linear_mean_wind_pi_975  -> fitted sea surface height based on linear model with wind and 0 nodal tide, 97.5% prediction interval [mm relative to NAP(2005)]
index,year,height,u2,v2,predicted_linear_with_wind,predicted_linear_without_wind,predicted_linear_mean_wind,predicted_linear_mean_wind_ci_025,predicted_linear_mean_wind_ci_975,predicted_linear_mean_wind_pi_025,predicted_linear_mean_wind_pi_975,date
85,1947,-129.16666666666666,3.3570893,0.71686864,-56.169254288189606,-54.73394634560067,-67.31326345469216,-71.58198594838808,-63.04454096099624,-113.47910526828997,-21.147421641094354,1947-01-01
86,1948,-56.0,2.858907,2.7578495,-54.450824676917165,-52.24979834148082,-65.44492529884387,-69.66612649175141,-61.22372410593633,-111.60639730896239,-19.28345328872536,1948-01-01
87,1949,-42.166666666666664,5.30343,0.3216679,-33.21047132352788,-51.337072987816555,-63.576587142995564,-67.75239240739954,-59.40078187859159,-109.73393009334502,-17.419244192646104,1949-01-01
88,1950,-43.166666666666664,3.816473,1.2771947,-47.43052243982238,-51.88003102813804,-61.70824898714727,-65.84085373643619,-57.57564423785835,-107.86170368605141,-15.554794288243137,1950-01-01
89,1951,-58.5,1.5250142,1.7796396,-72.45338312682972,-53.598622493738105,-59.83991083129898,-63.931580018057375,-55.748241644540585,-105.98971814794785,-13.690103514650104,1951-01-01
90,1952,-34.166666666666664,3.4400053,-0.038776614,-57.98869083621473,-56.08009743029747,-57.97157267545067,-62.0246398802096,-53.91850547069175,-104.11797353614882,-11.825171814752522,1952-01-01
91,1953,-73.16666666666667,2.9387922,0.068978846,-65.12448859880998,-58.82559517632987,-56.10323451960238,-60.120100600406914,-52.08636843879785,-102.2464699040124,-9.95999913519237,1953-01-01
92,1954,-45.5,4.9915295,1.3730128,-41.07228578596877,-61.30645341426731,-54.234896363754075,-58.21802764056947,-50.25176508693868,-100.3752073011361,-8.094585426372042,1954-01-01
93,1955,-36.333333333333336,1.7126894,-0.22835702,-81.77841755340681,-63.023881092670706,-52.36655820790578,-56.31848416090307,-48.4146322549085,-98.5041857733531,-6.228930642458465,1955-01-01
94,1956,-93.83333333333333,1.9961172,0.000106403706,-77.9946740031074,-63.565259620059734,-50.498220052057476,-54.42153051899779,-46.57490958511716,-96.6334053627285,-4.363034741386464,1956-01-01
95,1957,-60.833333333333336,2.2547548,0.1852093,-73.36634867505066,-62.650717315736784,-48.629881896209184,-52.52722376143409,-44.73254003098428,-94.7628661075561,-2.4968976848622546,1957-01-01
96,1958,-50.666666666666664,2.2449813,0.16877215,-70.88967784790538,-60.16472001209824,-46.76154374036089,-50.63561711618478,-42.887470364537,-92.89256804235552,-0.6305194383662709,1958-01-01
97,1959,-93.16666666666667,0.14023231,0.20452765,-89.92870010059657,-56.16911200945002,-44.893205584512586,-48.746759494931084,-41.03965167409409,-91.02251119786918,1.2361000288440067,1959-01-01
98,1960,-54.833333333333336,0.39210004,0.10180432,-82.64020614292329,-50.89613538152887,-43.024867428664294,-46.860695015005646,-39.18903984232294,-89.15269560106027,3.1029607437316855,1960-01-01
99,1961,12.833333333333334,3.1401722,0.21283843,-46.94434604211008,-44.72221557977266,-41.156529272816,-44.97746255097912,-37.335595994652884,-87.28312127511035,4.970062729478343,1961-01-01
100,1962,-39.666666666666664,3.64171,-0.080028,-36.523343237840514,-38.1254722943458,-39.288191116967695,-43.09709532587251,-35.47928690806288,-85.41378823941764,6.837406005482251,1962-01-01
101,1963,-97.0,0.13734382,0.23429385,-68.44378378194892,-31.63175154659131,-37.4198529611194,-41.219620551571836,-33.62008537066697,-83.54469650959557,8.704990587356761,1963-01-01
102,1964,-76.5,0.996338,-0.014845498,-54.80186688395142,-25.755270657125585,-35.5515148052711,-39.34505912723361,-31.757970483308586,-81.67584609747136,10.57281648692917,1964-01-01
103,1965,-21.833333333333332,2.9756749,-0.057570625,-29.363134931255004,-20.940575807115472,-33.683176649422805,-37.473425403309115,-29.89292789553649,-79.80723701108532,12.44088371223971,1965-01-01
104,1966,7.666666666666667,2.8802073,0.040577337,-27.37252907012445,-17.51236375091739,-31.814838493574513,-35.60472701731514,-28.024949969833884,-77.93886925469005,14.309192267541015,1966-01-01
105,1967,35.166666666666664,9.196815,1.3286175,46.263168490923135,-15.638831569746378,-29.946500337726206,-33.73896480569773,-26.154035869754686,-76.07074282875013,16.17774215329772,1967-01-01
106,1968,-29.333333333333332,0.853368,0.012949069,-47.77874143876102,-15.312691374237861,-28.078162181877914,-31.87613279414883,-24.280191569607,-74.20285772994222,18.046533366186395,1968-01-01
107,1969,-43.0,0.55541885,-0.009784522,-51.88060198182943,-16.351992927208308,-26.209824026029608,-30.01621826663606,-22.403429785423157,-72.33521395115514,19.91556589909593,1969-01-01
108,1970,-9.833333333333334,4.2492,0.08066217,-12.924778986387466,-18.420661332816845,-24.341485870181316,-28.159201911294357,-20.523769829068275,-70.46781148149054,21.784839741127918,1970-01-01
109,1971,-60.166666666666664,1.1129643,-0.005539008,-49.26814637129883,-21.06643159412691,-22.473147714333017,-26.30505803930451,-18.641237389361525,-68.60065030626372,23.654354877597683,1971-01-01
110,1972,-88.33333333333333,0.33752108,0.5689417,-58.14361891429817,-23.771898164178776,-20.604809558484718,-24.453754871044488,-16.755864245924947,-66.73373040700476,25.52411129003532,1972-01-01
111,1973,-20.5,5.2323146,-0.33183584,-8.428480467711502,-26.01291725674458,-18.736471402636425,-22.60525488222403,-14.867687923048818,-64.86705176146,27.39410895618716,1973-01-01
112,1974,-16.666666666666668,4.475806,0.34382138,-15.517877513422938,-27.317769737919836,-16.868133246788126,-20.759515201465096,-12.976751292111157,-63.00061434359383,29.26434785001758,1974-01-01
113,1975,-52.0,1.3508413,-0.021781223,-49.94406965107941,-27.32040656890861,-14.999795090939827,-18.916488049909493,-11.083102131970161,-61.13441812359062,31.134827941710967,1975-01-01
114,1976,-75.5,0.50272703,-0.014485825,-57.33577968532644,-25.801766704219567,-13.131456935091528,-17.07612121293584,-9.186792657247217,-59.26846306785714,33.005549197674085,1976-01-01
115,1977,-24.166666666666668,3.4437194,0.48148364,-20.906307614244177,-22.714503674765616,-11.263118779243229,-15.238358533944927,-7.28787902454153,-57.40274913902517,34.87651158053871,1977-01-01
116,1978,-31.833333333333332,3.2926567,0.1732222,-19.096833992602235,-18.18832983517054,-9.394780623394936,-13.403140420396959,-5.386420826392914,-55.537276295954435,36.74771504916456,1978-01-01
117,1979,-22.333333333333332,2.9034595,0.9794639,-16.21143689061347,-12.515375041718961,-7.526442467546637,-11.57040435281272,-3.482480582280556,-53.67204449373582,38.619159558642544,1979-01-01
118,1980,5.0,3.2153962,0.05390751,-9.552591399907257,-6.1172124046935465,-5.658104311698338,-9.740085388228326,-1.5761232351683496,-51.807053683694875,40.4908450602982,1980-01-01
119,1981,39.0,4.775985,0.022679903,13.055591655751606,0.50272690652168,-3.789766155850046,-7.9121166505574605,0.3325843388573686,-49.942303813395654,42.36277150169556,1981-01-01
120,1982,15.333333333333334,3.0092428,1.2455628,2.1904527188106258,6.815978612015854,-1.9214280000017396,-6.086429801403684,2.2435738014002045,-48.077794826644755,44.234938826641276,1982-01-01
121,1983,52.833333333333336,4.976384,0.5348254,26.423457889725697,12.32869589000023,-0.05308984415344753,-4.262955486017787,4.156775797710892,-46.213526663495834,46.10734697518894,1983-01-01
122,1984,-9.5,2.5496292,0.3237051,2.95404110923322,16.637392489190688,1.8152483116948517,-2.441623750256232,6.0721203736459355,-44.34949926025414,47.979995883643845,1984-01-01
123,1985,-6.5,3.1703155,0.7953676,13.205364498449477,19.474486363914423,3.683586467543151,-0.6223644255222736,7.989537360608575,-42.48571254948158,49.852885484567885,1985-01-01
